"Overall, how confident do you feel using computers, smartphones, or other electronic devices to do the things you need to do online?",How do you see yourself: are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?,Do you think you will enroll in an electricity saving program soon?,Do you think that you will enroll in an electricity saving program next year?,Do you think that in the future you might enroll in an electricity saving program?,"If one of your best friends were to convince you to enroll in an electricity saving program, would you give it a try?",People consider me to be tech savvy,I consider myself to be tech savvy,Do you rent or own your home?,What is your age group?,What is your sex?,What state do you live in?
Not at all confident,0,Definitely yes,Definitely yes,Definitely yes,Definitely yes,0,0,I am a homeowner,18 to 24,Male,Alabama
Only a little confident,10,Probably yes,Probably yes,Probably yes,Probably yes,5,5,I am a renter,25 to 34,Female,Alaska
Somewhat confident,,Probably not,Probably not,Probably not,Probably not,,,Other,35 to 44,Other,Arizona
Very confident,,Definitely not,Definitely not,Definitely not,Definitely not,,,,45 to 54,,Arkansas
,,,,,,,,,55 to 64,,California
,,,,,,,,,65 or over,,Colorado
,,,,,,,,,,,Connecticut
,,,,,,,,,,,Delaware
,,,,,,,,,,,Florida
,,,,,,,,,,,Georgia
,,,,,,,,,,,Hawaii
,,,,,,,,,,,Idaho
,,,,,,,,,,,Illinois
,,,,,,,,,,,Indiana
,,,,,,,,,,,Iowa
,,,,,,,,,,,Kansas
,,,,,,,,,,,Kentucky
,,,,,,,,,,,Louisiana
,,,,,,,,,,,Maine
,,,,,,,,,,,Maryland
,,,,,,,,,,,Massachusetts
,,,,,,,,,,,Michigan
,,,,,,,,,,,Minnesota
,,,,,,,,,,,Mississippi
,,,,,,,,,,,Missouri
,,,,,,,,,,,Montana
,,,,,,,,,,,Nebraska
,,,,,,,,,,,Nevada
,,,,,,,,,,,New Hampshire
,,,,,,,,,,,New Jersey
,,,,,,,,,,,New Mexico
,,,,,,,,,,,New York
,,,,,,,,,,,North Carolina
,,,,,,,,,,,North Dakota
,,,,,,,,,,,Ohio
,,,,,,,,,,,Oklahoma
,,,,,,,,,,,Oregon
,,,,,,,,,,,Pennsylvania
,,,,,,,,,,,Rhode Island
,,,,,,,,,,,South Carolina
,,,,,,,,,,,South Dakota
,,,,,,,,,,,Tennessee
,,,,,,,,,,,Texas
,,,,,,,,,,,Utah
,,,,,,,,,,,Vermont
,,,,,,,,,,,Virginia
,,,,,,,,,,,Washington
,,,,,,,,,,,West Virginia
,,,,,,,,,,,Wisconsin
,,,,,,,,,,,Wyoming
